"word","form","level"
"a, an","indefinite article","A1"
"abandon","v.","B2"
"ability","n.","A2"
"able","adj.","A2"
"abolish","v.","C1"
"abortion","n.","C1"
"about","adv.","A1"
"about","prep.","A1"
"above","adv.","A1"
"above","prep.","A1"
"abroad","adv.","A2"
"absence","n.","C1"
"absent","adj.","C1"
"absolute","adj.","B2"
"absolutely","adv.","B1"
"absorb","v.","B2"
"abstract","adj.","B2"
"absurd","adj.","C1"
"abundance","n.","C1"
"abuse","n.","C1"
"abuse","v.","C1"
"academic","adj.","B1"
"academic","n.","B2"
"academy","n.","C1"
"accent","n.","B2"
"accept","v.","A2"
"acceptable","adj.","B2"
"acceptance","n.","C1"
"access","n.","B1"
"access","v.","B1"
"accessible","adj.","C1"
"accident","n.","A2"
"accidentally","adv.","B2"
"accommodate","v.","B2"
"accommodation","n.","B1"
"accompany","v.","B2"
"accomplish","v.","B2"
"accomplishment","n.","C1"
"accordance","n.","C1"
"according to","prep.","A2"
"accordingly","adv.","C1"
"account","n.","B1"
"account","v.","B2"
"accountability","n.","C1"
"accountable","adj.","C1"
"accountant","n.","B2"
"accumulate","v.","C1"
"accumulation","n.","C1"
"accuracy","n.","B2"
"accurate","adj.","B2"
"accurately","adv.","B2"
"accusation","n.","C1"
"accuse","v.","B2"
"accused","n.","C1"
"achieve","v.","A2"
"achievement","n.","B1"
"acid","adj.","C1"
"acid","n.","B2"
"acknowledge","v.","B2"
"acquire","v.","B2"
"acquisition","n.","C1"
"acre","n.","C1"
"across","adv.","A1"
"across","prep.","A1"
"act","n.","B1"
"act","v.","A2"
"action","n.","A1"
"active","adj.","A2"
"activate","v.","B2"
"activation","n.","C1"
"activist","n.","C1"
"activity","n.","A1"
"actor","n.","A1"
"actress","n.","A1"
"actual","adj.","B2"
"actually","adv.","A2"
"acute","adj.","C1"
"ad","n.","B1"
"adapt","v.","B2"
"adaptation","n.","C1"
"add","v.","A1"
"addiction","n.","B2"
"addition","n.","B1"
"additional","adj.","B2"
"additionally","adv.","B2"
"address","n.","A1"
"address","v.","B2"
"adequate","adj.","B2"
"adequately","adv.","B2"
"adhere","v.","C1"
"adjacent","adj.","C1"
"adjust","v.","B2"
"adjustment","n.","C1"
"administer","v.","C1"
"administrative","adj.","C1"
"administrator","n.","C1"
"administration","n.","B2"
"admire","v.","B1"
"admission","n.","C1"
"admit","v.","B1"
"adolescent","n.","C1"
"adopt","v.","B2"
"adoption","n.","C1"
"adult","adj.","A2"
"adult","n.","A1"
"advance","adj.","B2"
"advance","n.","B2"
"advance","v.","B2"
"advanced","adj.","B1"
"advantage","n.","A2"
"adventure","n.","A2"
"adverse","adj.","C1"
"advertise","v.","A2"
"advertisement","n.","A2"
"advertising","n.","A2"
"advice","n.","A1"
"advise","v.","B1"
"advocate","n.","C1"
"advocate","v.","C1"
"aesthetic","adj.","C1"
"affair","n.","B2"
"affect","v.","A2"
"affection","n.","C1"
"afford","v.","B1"
"affordable","adj.","B2"
"afraid","adj.","A1"
"after","adv.","A2"
"after","conj.","A2"
"after","prep.","A1"
"aftermath","n.","C1"
"afternoon","n.","A1"
"afterwards","adv.","B2"
"again","adv.","A1"
"against","prep.","A2"
"age","n.","A1"
"age","v.","B1"
"aged","adj.","B1"
"agency","n.","B2"
"agenda","n.","B2"
"agent","n.","B1"
"aggression","n.","C1"
"aggressive","adj.","B2"
"ago","adv.","A1"
"agree","v.","A1"
"agreement","n.","B1"
"agriculture","n.","B2"
"agricultural","adj.","C1"
"ah","exclam.","A2"
"ahead","adv.","B1"
"aide","n.","C1"
"aid","n.","B2"
"aid","v.","B2"
"AIDS","n.","B2"
"aim","n.","B1"
"aim","v.","B1"
"air","n.","A1"
"aircraft","n.","B2"
"airline","n.","A2"
"airport","n.","A1"
"alarm","n.","B1"
"alarm","v.","B2"
"album","n.","B1"
"alcohol","n.","B1"
"alcoholic","adj.","B1"
"albeit","conj.","C1"
"alert","adj.","C1"
"alert","n.","C1"
"alert","v.","C1"
"alien","adj.","C1"
"alien","n.","B2"
"align","v.","C1"
"alignment","n.","C1"
"alike","adj.","C1"
"alike","adv.","C1"
"alive","adj.","A2"
"all","adv.","A2"
"all","det.","A1"
