evaluationMode,count,minimum,p50,p75,p90,p95,maximum,unavailableRate,unrateableRate,metric
azure_word,40,686.1666666666667,1000,1034.9791666666667,1153.3875,1180.7479166666665,1246.2916666666665,0,0,audioDurationMs
azure_word,40,32044,45560,49757,55440.6,56753.899999999994,59900,0,0,audioByteCount
azure_word,40,0,0,0,0,0,0,0,0,prewarmDurationMs
azure_word,40,147.19009999999253,313.4650499999999,354.2129500000001,417.8046099999974,436.0745649999983,484.22159999999985,0,0,requestDurationMs
azure_word,40,0.07100000001082662,0.11034999999992579,0.13700000000051205,0.18344999999790162,0.19186500000009798,0.23279999999999745,0,0,responseDurationMs
azure_word,40,0.030599999998230487,0.04295000000024629,0.05312499999990905,0.05862999999926615,0.06833499999979688,0.32989999999995234,0,0,normalizationDurationMs
azure_word,40,0.014200000005075708,0.02595000000019354,0.03407499999912034,0.056159999999817974,0.0771000000013714,0.2622000000000071,0,0,reducerResolutionDurationMs
azure_phrase,30,1013.6666666666667,1256.2916666666665,1318.6458333333333,1734.2541666666666,1924.8979166666657,2153.0833333333335,0,0,audioDurationMs
azure_phrase,30,48734,60380,63373,83322.2,92473.09999999996,103426,0,0,audioByteCount
azure_phrase,30,0,0,0,0,0,0,0,0,prewarmDurationMs
azure_phrase,30,294.318299999999,390.93329999999696,475.9676750000008,512.2144100000056,533.9569000000021,561.8555000000051,0,0,requestDurationMs
azure_phrase,30,0.06810000000405125,0.0948500000013155,0.11442499999975553,0.13082999999605818,0.16370000000169954,0.1915999999982887,0,0,responseDurationMs
azure_phrase,30,0.03130000000237487,0.03945000000021537,0.042250000002240995,0.04508999999816297,0.046559999996679834,0.07049999999799184,0,0,normalizationDurationMs
azure_phrase,30,0.016700000000128057,0.01944999999977881,0.025324999999611464,0.03560000000106812,0.04010000000398577,0.04619999999704305,0,0,reducerResolutionDurationMs
v3_word,100,745.3333333333333,1133.7291666666665,1171.0416666666667,1226.3333333333335,1237.758333333333,1345.875,0,0.69,audioDurationMs
v3_word,100,35854,54497,56288,58942,59490.39999999999,64680,0,0.69,audioByteCount
v3_word,100,0,0,0,0,0,26.597299999999997,0,0.69,prewarmDurationMs
v3_word,100,163.8917999999976,242.4088999999949,256.11292500000127,280.1485700000005,300.2966299999949,345.2966000000015,0,0.69,requestDurationMs
v3_word,100,0.1431999999913387,0.17505000000164728,0.20750000000407454,0.4778899999990245,0.5229849999966972,0.6196000000054482,0,0.69,responseDurationMs
v3_word,100,0.043399999995017424,0.05709999999817228,0.06934999999430147,0.09020000001037262,0.10892999999960011,0.3518000000040047,0,0.69,normalizationDurationMs
v3_word,100,0.009799999999813735,0.015949999997246778,0.022925000008399365,0.03175000000628643,0.035434999993958605,0.07730000000447035,0,0.69,reducerResolutionDurationMs
